Limón Consumer NATUR, cal. 63/78, malla 1 kg;1,25;208
Mandarina BON MATÍ, Clementina, cal. 54/74, malla 1 Kg;1,32;220
Naranja BON MATÍ, para postre, cal. 70/84, malla 3Kg;2,21;368
Naranja BON MATÍ, para zumo, cal. 64/70, malla 2 kg;1,06;176
Naranja, cal. 72/92, malla 2Kg;1,82;303
Naranja Consumer NATUR,postre, cal. 77/92, malla 2 kg;1,99;331
Pomelo, cal. 91/100, aprox. 1,00kg (1,22 euros/kg);1,22;203
Manzana Braeburn, cal. 75/95, 1,00kg (1,3 euros/kg);1,3;216
Manzana Fuji, cal. 75/90 1,00kg (1,66 euros/kg);1,66;276
Manzana Golden, cal. 80/99, aprox. 1,00kg (1,75 euros/kg);1,75;291
Manzana Granny Smith Consumer NATUR, cal. 75/85, aprox. 1,00kg (1,96 euros/kg);1,96;326
Manzana Red Delicious COPEFRUT, cal. 80/95, aprox. 1,00kg (1,71 euros/kg);1,71;285
Manzana Reineta Blanca, cal.80/99, 1,00kg (1,23 euros/kg);1,23;205
Manzana Reineta Gris Consumer NATUR, cal. 80/99 1,00kg (1,75 euros/kg);1,75;291
Manzana Royal Gala Consumer NATUR, cal. 65/85, aprox. 1,00kg (1,6 euros/kg);1,6;266
Pera Blanquilla, cal. 60/85, aprox. 1,00kg (1,48 euros/kg);1,48;246
Pera Conferencia AGROALIMENTARIA DE LA RIOJA, cal. 60/70, aprox.;0,79;131
Pera Conferencia, cal. 70/99, aprox. 1,00kg (1,23 euros/kg);1,23;205
Pera Pasacrassana, cal. 75/85 1,00kg (1,48 euros/kg);1,48;246
Kiwi Consumer NATUR, Hayward, 1,00kg (2,97 euros/kg);2,97;494
Plátano Canario ISLA GRANDE, cal. 35/50 1,00kg (1,79 euros/kg);1,79;298
UVA BLANCA CUBETA 12 GRANOS    1.0 U;0,99;165
Uva Blanca sin semilla, cal. 16/35, cubeta;2,93;488
Aguacate, aprox. 500g (4,71 euros/kg);2,355;392
Coco, 1 unidad;0,89;148
Mango, aprox. 1,00kg (2,35 euros/kg);2,35;391
Papaya, aprox. 500g (3,84 euros/kg);1,92;319
Piña de Centroamérica DEL MONTE GOLD, aprox. 1,50kg (5,23 euros/kg);7,845;1305
Piña de Costa de Marfil, aprox. 1,50kg (1,69 euros/kg);2,535;422
Plátano de freir, aprox. 1,00kg (2 euros/kg);2;333
Yuca, aprox. 1,00kg (2 euros/kg);2;333
Melon Galia, 1 unidad, aprox. 1,20kg (1,72 euros/kg);2,064;343
Melón Piel de Sapo BON MATÍ, unidad aprox. 2,20kg (1,24 euros/kg);2,728;454
Judia Perona, cal. 10/25, malla 500g;1,54;256
Judia Perona, cal. 10/30 500g (2,38 euros/kg);1,19;198
Pimiento Italiano TARANTO, cal. 40/55, malla 500g;0,96;160
Pimiento para freir TXAIRO, bandeja 200g;1,13;188
Pimiento Rojo LAMUYO, aprox. 1,00kg (2,19 euros/kg);2,19;364
Pimiento Verde LAMUYO, aprox. 1,00kg (2,06 euros/kg);2,06;343
Tomate Cherry LA PALMA, cal. 20/35, cubeta 250g;1,65;275
Tomate para ensalada, cal. 67/99, aprox. 1,00kg (,85 euros/kg);0,85;141
Tomate Pera, cal. 30/66, aprox. 1,00kg (1,23 euros/kg);1,23;205
Berenjena Negra, cal 80/100, aprox. 1,00kg (1,22 euros/kg);1,22;203
Calabacín Verde, cal. 45/60, aprox. 1,00kg (1,25 euros/kg);1,25;208
Calabacín Verde TARANTO, cal. 30/70, malla;1,06;176
Calabaza Larga, aprox. 1,00kg (1,05 euros/kg);1,05;175
Pepino Francés, cal. 55/65, aprox. 1,00kg (1,32 euros/kg);1,32;220
Apio Blanco, manojo;0,84;140
Corazones de Cogollos Consumer NATUR, pack 6 unidades;2,21;368
Endibia Consumer NATUR 45/80, bandeja;1,09;181
Lechuga Batavia, 400g;0,65;108
Lechuga Cogollo Consumer NATUR, 100g/200g, pack 3 unidades;0,99;165
Lechuga Consumer NATUR, Batavia;0,84;140
Lechuga Hoja de Roble;1,09;181
Lechuga Iceberg, unidad;0,69;115
Lechuga Lollo Rosso;1,09;181
Lechuga Mantecosa Envasada, bandeja 2 unid.;1,99;331
Patata, cal. 40/80, malla 3 kg;1,43;238
Patata Consumer NATUR, Guarnición, cal. 35/50, 1,5 kg;1,48;246
Patata Consumer NATUR, Para Asar, cal. 50/80, 2 kg;1,86;309
Patata Consumer NATUR, Para Cocer, cal.50/80, 2 kg;1,86;309
Patata Consumer NATUR, Para Freir, cal.50/80, 3 kg;2,69;448
Patata Consumer NATUR, Para Guisar, cal.50/80, 3 kg;2,48;413
Zanahoria GARCÍA USUA, cal. 20/40, bolsa;0,43;72
Ajo Blanco, cal. 50/80, malla 500 g;1,85;308
Ajo Rojo, cal. 50/65, malla 5 cabezas;0,78;130
Brotes de Puerro, bandeja 125 g;0,94;156
Cebolla Blanca, cal. 80/90, malla 1 kg;0,74;123
Cebolla de la Tierra 1.0 kg;0,53;88
Cebolleta, cal. 45/65, manojo 3 unid.;0,7;116
Chalote, cal. 30/45, malla 250 g;0,73;121
Puerro, cal. 20/35, manojo 6 unidades;0,99;165
Champiñón Blanco, bandeja 350g;0,89;148
Seta Ostra, cal. 55/110, bandeja 200g;1,09;181
Shii-Take, cal. 50/110, barqueta 200g;2,79;464
Acelga Amarilla, cal. 45/70, manojo 1,00kg (,96 euros/kg);0,96;160
Espinacas, bolsa 300g;1,34;223
Bróculi;0,67;111
Col de Bruselas, cal. 25/42, cubeta 500g;1,1;183
Coliflor, cal. 150/200, 1,8 kg;0,89;148
Repollo Liso, 1,25kg (,55 euros/kg);0,688;114
Repollo Morado, cal. 100/200, unidad 1,50kg (,87 euros/kg);1,305;217
Alcachofa blanca, cal. 60/95, 1,00kg (1,75 euros/kg);1,75;291
Cardo Variedad Peralta, Origen Navarra, a Granel 1,00kg (2,49 euros/kg);2,49;414
Espárrago Verde, cal. 12/18, manojo;3,84;639
Rábano Redondo manojo 25/35;0,52;87
Acelga CONSUMER, bolsa 300g;1,27;211
Apio y Zanahoria CONSUMER,Rallado, bolsa 150g;0,92;153
Canónigo VEGA MAYOR, bolsa 125g;1,95;324
Ensal. Winter L CONSUMER,Lechuga/Escar/Radiccio/Zanah/Apio, 200g;1,46;243
Ensalada de Cangrejo AMADO, envase 150g;3,2;532
Ensalada de Cangrejo MULTIFOOD, envase 250g;2,37;394
Ensalada de Pasta MULTIFOOD, pack 250g;1,77;295
Ensalada MC. SALAD, Pollo, tarrina 240g;2,97;494
Ensalada Rusa MULTIFOOD, pack 250g;1,5;250
Ensalada Tricolore CONSUMER, Lechuga/Lollo R/Zanahoria,200g;1,46;243
Ensalada VEGA MAYOR, bolsa 200g;1,34;223
Ensalada VEGA MAYOR, Gourmet, bolsa 175g;1,9;316
Ensalada VEGA MAYOR, Valenciana, tarrina 180g;1,74;290
Ensalada VEGA MAYOR, 4 Estaciones, bolsa 250g;0,95;158
Ensaladilla GASTRO-LUNCH, con txaka, tarrina 180g;1,72;286
Ensaladilla Rusa GASTRO-LUNCH, tarrina 500g;3,87;644
Ensal.Belle de Jour CONSUMER,Escar/Lechuga/Lollo R/Rúcula,175g;1,9;316
Ens.Italia CONSUMER,Hoja Rob/Lollo V/Radiccio/Rúcula/Lollo R,10;1,79;298
Escarola Troceada CONSUMER, bolsa 200g;1,57;261
Espinacas CONSUMER, bolsa 300g;1,38;230
Lechuga Iceberg VEGA MAYOR, bolsa 250g;1,06;176
Menestra de Verduras CONSUMER, bolsa 300g;1,86;309
Panaché Berciano CONSUMER, bolsa 300g;1,8;299
Puerro Cortado CONSUMER, bolsa 300g;1,39;231
Sopa Huertana CONSUMER, 300g;1,5;250
Sopa Juliana CONSUMER, bolsa 300g;1,32;220
Zanahoria Rallada CONSUMER, bolsa 150g;0,73;121
Tomate Ecológico JAVIER IZU, aprox. 1,00kg (3,19 euros/kg);3,19;531
Zanahoria Ecológica JAVIER IZU, aprox. 1,00kg (2,19 euros/kg);2,19;364
Manzana Golden Ecológica JAVIER IZU, aprox. 1,00kg (1,89 euros/kg);1,89;314
Pera Conferencia Ecológica JAVIER IZU, aprox. 1,00kg (2,59 euros/kg);2,59;431
Carne picada ternera MAYTE, bandeja 400g (6,55 euros/kg);2,62;436
Chuleta de Ternera Consumer NATUR, Nacional y menor de 12 meses, 400g (13,81 euros/kg);5,524;919
Churrasco de Ternera Consumer NATUR, Nac. y menor de 12 meses, 600g (4,5 euros/kg);2,7;449
Falda Deshuesada Ternera Consumer NATUR,Nac. y menor 12 meses, 500g (4,5 euros/kg);2,25;374
Filete Babilla Ternera Consumer NATUR, Nac. y menor de 12 meses 500g (11,41 euros/kg);5,705;949
Filete Cadera Ternera Consumer NATUR, Nac. y menor de 12 meses, 500g (11,41 euros/kg);5,705;949
Filete Deshuesada Ternera Consumer NATUR,Nacional,menor 12 meses 500g (8,56 euros/kg);4,28;712
